timestamp,x,y,z
1733479015.974896,0.317442,0.065371,0.351415
1733479016.089552,0.316900,0.072554,0.360179
1733479016.194211,0.315621,0.079139,0.368553
1733479016.306421,0.313628,0.085880,0.365618
1733479016.361391,0.314130,0.090075,0.356130
1733479016.470242,0.309453,0.095037,0.365703
1733479016.578381,0.303287,0.099253,0.380090
1733479016.689342,0.305014,0.105987,0.373048
1733479016.803046,0.305684,0.110417,0.375028
1733479016.909001,0.308203,0.112996,0.373622
1733479016.971766,0.310954,0.115183,0.366423
1733479017.074357,0.311191,0.115584,0.363727
1733479017.186731,0.309832,0.114131,0.364041
1733479017.289313,0.305519,0.109754,0.372142
1733479017.401563,0.307116,0.106944,0.367994
1733479017.513316,0.306578,0.101321,0.377179
1733479017.569038,0.306526,0.098795,0.377457
1733479017.673196,0.310023,0.094815,0.375861
1733479017.784474,0.312878,0.090579,0.373333
1733479017.894460,0.311221,0.084493,0.373693
1733479018.009789,0.311773,0.079259,0.373020
1733479018.059855,0.306604,0.073445,0.392448
1733479018.172959,0.310717,0.069799,0.369131
1733479018.278398,0.309206,0.062475,0.376908
1733479018.386748,0.306973,0.053884,0.385425
1733479018.444525,0.310834,0.050884,0.369960
1733479018.607317,0.311234,0.038511,0.367940
1733479018.664816,0.308420,0.033422,0.380120
1733479018.774273,0.310307,0.025167,0.375604
1733479018.880141,0.311792,0.016629,0.371354
1733479018.992623,0.313019,0.009006,0.374038
1733479019.099369,0.315699,0.000215,0.373370
1733479019.213075,0.317224,-0.008571,0.370136
1733479019.264310,0.317126,-0.012372,0.369897
1733479019.373986,0.317378,-0.019939,0.371837
1733479019.484830,0.318242,-0.027557,0.369829
1733479019.595012,0.318343,-0.035165,0.369353
1733479019.705284,0.321114,-0.043128,0.363925
1733479019.810733,0.322750,-0.051201,0.361207
1733479019.866696,0.322387,-0.056213,0.363000
1733479019.923452,0.326580,-0.061564,0.348813
1733479020.089766,0.329000,-0.074959,0.350140
1733479020.196175,0.332159,-0.083508,0.346905
1733479020.309906,0.329508,-0.090566,0.360735
1733479020.414090,0.333027,-0.099297,0.352848
1733479020.473632,0.330765,-0.101624,0.362691
1733479020.578413,0.334466,-0.110367,0.351457
1733479020.692755,0.329869,-0.115337,0.363651
1733479020.806459,0.330944,-0.123599,0.358658
1733479020.914326,0.325025,-0.129402,0.375020
1733479020.965525,0.328501,-0.136517,0.362266
1733479020.965525,0.328501,-0.136517,0.362266
1733479021.126395,0.340787,-0.157987,0.338007
1733479021.126395,0.340787,-0.157987,0.338007
1733479021.126395,0.340787,-0.157987,0.338007
1733479021.126395,0.340787,-0.157987,0.338007
1733479021.518299,0.339309,-0.192425,0.359627
1733479021.518299,0.339309,-0.192425,0.359627
1733479021.518299,0.339309,-0.192425,0.359627
1733479021.518299,0.339309,-0.192425,0.359627
1733479021.958357,0.343080,-0.236021,0.354432
1733479022.066820,0.346466,-0.248925,0.343394
1733479022.167256,0.343928,-0.255646,0.352082
1733479022.291777,0.344332,-0.263553,0.352903
1733479022.386817,0.340492,-0.268769,0.359203
1733479022.501420,0.334969,-0.272609,0.365882
1733479022.606009,0.334770,-0.284574,0.351224
1733479022.665693,0.327208,-0.281271,0.366107
1733479022.778497,0.322623,-0.288723,0.361744
1733479022.884720,0.314141,-0.289025,0.372465
1733479022.998491,0.311265,-0.297572,0.366980
1733479023.099019,0.308968,-0.306688,0.362044
1733479023.162286,0.309152,-0.313877,0.353048
1733479023.271319,0.305977,-0.319600,0.356285
1733479023.373967,0.298825,-0.320364,0.372396
1733479023.500428,0.295683,-0.331787,0.363851
1733479023.596642,0.286774,-0.337106,0.367755
1733479023.702841,0.283450,-0.343493,0.366631
1733479023.761300,0.282173,-0.344537,0.367757
1733479023.872735,0.280750,-0.345177,0.373778
1733479023.986407,0.279044,-0.342012,0.382157
1733479024.087100,0.280631,-0.345083,0.374324
1733479024.202418,0.282131,-0.346015,0.367426
1733479024.306309,0.283348,-0.342182,0.367263
1733479024.414906,0.283178,-0.337556,0.363190
1733479024.473167,0.283228,-0.335668,0.361331
1733479024.581624,0.283758,-0.331619,0.353884
1733479024.694305,0.278179,-0.315254,0.372280
1733479024.806512,0.282955,-0.311049,0.361731
1733479024.908860,0.282883,-0.303403,0.361060
1733479024.962323,0.282728,-0.298636,0.361816
1733479025.076504,0.284926,-0.290619,0.358239
1733479025.186008,0.289413,-0.285553,0.348443
1733479025.292862,0.287400,-0.272770,0.358654
1733479025.402690,0.292141,-0.270101,0.341124
1733479025.510175,0.291904,-0.259541,0.344264
1733479025.510175,0.291904,-0.259541,0.344264
1733479025.510175,0.291904,-0.259541,0.344264
1733479025.510175,0.291904,-0.259541,0.344264
1733479025.897156,0.283459,-0.226085,0.335445
1733479026.004656,0.280555,-0.217171,0.337777
1733479026.061026,0.278262,-0.211616,0.344882
1733479026.171317,0.278154,-0.205159,0.345609
1733479026.278914,0.278392,-0.197801,0.347888
1733479026.393425,0.276508,-0.189746,0.361359
1733479026.497666,0.280893,-0.188306,0.348653
1733479026.608531,0.283511,-0.184287,0.348560
1733479026.661554,0.283466,-0.179912,0.356160
1733479026.769224,0.287865,-0.177088,0.348251
1733479026.891312,0.290374,-0.174017,0.343104
1733479026.993056,0.289774,-0.166374,0.355115
1733479027.101121,0.289829,-0.162988,0.359026
1733479027.213815,0.290919,-0.164181,0.354993
1733479027.268371,0.293241,-0.166066,0.350447
1733479027.375554,0.290519,-0.163422,0.366577
1733479027.492630,0.291991,-0.164487,0.363712
1733479027.605481,0.285124,-0.162205,0.380162
1733479027.704945,0.282402,-0.162004,0.383909
1733479027.762021,0.282254,-0.163043,0.383957
1733479027.878497,0.277201,-0.160636,0.406288
1733479027.982876,0.276396,-0.162113,0.407380
1733479028.088331,0.279867,-0.166210,0.397880
1733479028.194033,0.280979,-0.167001,0.404491
1733479028.306361,0.283017,-0.168439,0.404652
1733479028.365497,0.281130,-0.165861,0.416152
1733479028.473784,0.283521,-0.166223,0.416935
1733479028.584896,0.280294,-0.165641,0.422340
1733479028.698588,0.275146,-0.162370,0.435056
1733479028.799662,0.270990,-0.159763,0.444352
1733479028.913625,0.273648,-0.162013,0.433617
1733479028.963265,0.279383,-0.166481,0.412826
1733479029.085411,0.271780,-0.155837,0.456656
1733479029.190335,0.274579,-0.155890,0.456042
1733479029.294276,0.274968,-0.155539,0.461689
1733479029.403567,0.273364,-0.154121,0.467380
1733479029.513276,0.273367,-0.155187,0.466268
1733479029.566704,0.274595,-0.156668,0.461468
1733479029.676134,0.271426,-0.154205,0.473835
1733479029.793474,0.266970,-0.152337,0.481779
1733479029.893467,0.263090,-0.149913,0.490839
1733479030.008183,0.258898,-0.147361,0.500494
1733479030.060251,0.257885,-0.147361,0.500533
1733479030.185727,0.260787,-0.149499,0.491480
1733479030.279405,0.261573,-0.148375,0.496156
1733479030.388451,0.261930,-0.145332,0.500486
1733479030.501582,0.265967,-0.144968,0.491778
1733479030.609156,0.268837,-0.142966,0.486488
1733479030.670346,0.269222,-0.140877,0.486623
1733479030.772772,0.270446,-0.135457,0.484097
1733479030.828299,0.271505,-0.133222,0.477232
1733479030.828299,0.271505,-0.133222,0.477232
1733479030.828299,0.271505,-0.133222,0.477232
1733479031.209293,0.272794,-0.106153,0.473176
1733479031.271495,0.271010,-0.100963,0.484142
1733479031.381103,0.274332,-0.094915,0.471051
1733479031.484850,0.272037,-0.086777,0.480570
1733479031.540039,0.274314,-0.084274,0.470834
1733479031.652842,0.272939,-0.077046,0.474880
1733479031.815189,0.271996,-0.067879,0.480827
1733479031.868636,0.274547,-0.065636,0.471835
1733479031.977208,0.272228,-0.058346,0.484489
1733479032.093513,0.274693,-0.053014,0.479156
1733479032.199656,0.274949,-0.046570,0.480632
1733479032.306178,0.273951,-0.040219,0.485067
1733479032.371529,0.277592,-0.037151,0.470852
1733479032.470999,0.276429,-0.030415,0.470832
1733479032.580707,0.277704,-0.023425,0.472569
1733479032.640456,0.280065,-0.019824,0.466439
1733479032.640456,0.280065,-0.019824,0.466439
1733479032.640456,0.280065,-0.019824,0.466439
1733479032.640456,0.280065,-0.019824,0.466439
1733479032.640456,0.280065,-0.019824,0.466439
1733479032.640456,0.280065,-0.019824,0.466439
