Command,Speed (mm/s),Initial Position (mm),End Position (mm),Time (s),ArUco ID,Translation X (m),Translation Y (m),Translation Z (m),Rotation X,Rotation Y,Rotation Z,Rotation W
P200,240.0,0.0,200.0,1741944811.1490607,aruco_0,0.036890248562289785,0.005109445099620677,0.0329323652135306,0.07580500190316342,0.058588968432948155,0.9953135321306484,-0.013110962464577719
P200,240.0,0.0,200.0,1741944811.14935,aruco_3,0.21121068273289606,-0.03788061450631161,0.05712206327236824,-0.05110832022604144,-0.026095313250258982,0.9983300818566762,-0.006634159277104806
P200,240.0,0.0,200.0,1741944811.149622,aruco_1,0.019251196443592633,-0.04222528541804266,0.03217803579319978,-0.03696209558427633,-0.05934334772331565,0.9975317456330529,-0.006525126246462275
P200,240.0,0.0,200.0,1741944811.1498873,aruco_5,0.3965306812806772,-0.0389636842032246,0.05737104283946404,0.028517571640241234,-0.007732398714743828,0.9994967033299635,-0.011545058801985595
P200,240.0,0.0,200.0,1741944811.1501455,aruco_7,0.5806418553212107,-0.03945156672879875,0.0480703771353862,0.0806774208094087,-0.05374530973494064,0.9952571012880113,0.008117134134300758
P200,240.0,0.0,200.0,1741944811.1504004,aruco_9,0.7642746963414062,-0.04015115754586383,0.03041780669566685,0.029666310766792083,-0.007132854857528681,0.9995318998681386,0.0022369085869424054
P200,240.0,0.0,200.0,1741944811.235358,aruco_2,0.023072286826122335,0.05512387986167416,0.04149950554376647,0.07593018846385667,0.04596219480532702,0.9960522153419763,-0.0014344118114505465
P200,240.0,0.0,200.0,1741944811.2357864,aruco_8,0.5834307911996579,0.058987839157199455,0.02859845999973576,0.05034440620882118,0.022312902147519943,0.9984321937561681,0.010035926080090709
P200,240.0,0.0,200.0,1741944811.236085,aruco_4,0.20768752929208434,0.0543658733552693,0.04077088854500399,-0.014379633253372017,0.0615968514223835,0.9979887312821729,0.0041876679489945175
P200,240.0,0.0,200.0,1741944811.2364058,aruco_6,0.39472359894449405,0.05450107106844308,0.045334235692800706,0.05472563721942929,0.07009317419920313,0.9959779096457011,-0.010956517362015472
P200,240.0,0.0,200.0,1741944811.2369118,aruco_10,0.7622549816270141,0.05472877607564356,0.027467803877757935,0.03451536977584364,0.0143181914391794,0.999293553765214,0.004007775600890733
P200,240.0,0.0,200.0,1741944811.237395,aruco_0,0.051256424758763464,0.005234826300278078,0.036045685789593995,0.0886754321019077,0.07052017413768766,0.9934620028292687,-0.014028962196430277
P200,240.0,0.0,200.0,1741944811.2378619,aruco_3,0.21101067914559518,-0.0379938635626991,0.056576701151590414,-0.050231690432849495,-0.024557699494774543,0.9984111849639643,-0.006985169420994863
