Command,Speed (mm/s),Initial Position (mm),End Position (mm),Current Position (mm),Time (s),ArUco ID,Translation X (mm),Translation Y (mm),Translation Z (mm),Rotation X,Rotation Y,Rotation Z,Rotation W
P200,10.0,0.0,200.0,180.6300048828125,1742199624.6059358,aruco_9,763.9073638215302,-38.25068977183976,37.00941575951533,0.02796360372532291,-0.015433379928634684,0.9994838654869483,0.0034410047542894496
P200,10.0,0.0,200.0,181.36000061035156,1742199624.7115521,aruco_8,583.9896880523252,59.1795369873661,37.28014083350617,0.05970533645179687,0.042540631319586415,0.9972660510496599,0.009272597844227263
P200,10.0,0.0,200.0,181.36000061035156,1742199624.7120852,aruco_2,17.004807229023033,53.1392640966798,25.81768577471488,-0.03419192350870361,0.0823875461347118,0.9958424480525776,-0.018466552211969085
P200,10.0,0.0,200.0,181.36000061035156,1742199624.7124457,aruco_4,215.25072556724913,53.13446292649513,59.760728254724896,0.07334266520209017,0.04065004565077093,0.9963048216480537,-0.01857739815742175
P200,10.0,0.0,200.0,181.36000061035156,1742199624.7128968,aruco_6,396.99677065455796,53.71389263925678,47.75972767074066,-0.0425083875183055,0.07986911354126483,0.9958368911976175,-0.011083234323499907
P200,10.0,0.0,200.0,181.36000061035156,1742199624.713258,aruco_10,765.3170870197907,55.414501509615924,25.505701529670908,0.029785312623435953,-0.00961707751685212,0.9994974823387357,-0.005011985521947465
P200,10.0,0.0,200.0,181.36000061035156,1742199624.713635,aruco_0,180.5587825037567,4.06760100067613,45.39236022738391,-0.02380900814092836,0.015708024306253444,0.9995913714270203,0.0018626624820500546
P200,10.0,0.0,200.0,181.36000061035156,1742199624.7139394,aruco_1,0.6491452028815625,-51.28131258582383,-8.645313348086493,0.005999492398386896,-0.05572805789461424,0.9984122246756635,-0.005604423037493743
P200,10.0,0.0,200.0,181.36000061035156,1742199624.714253,aruco_3,209.28351749258982,-41.917769653341516,42.07631137018908,0.052910730744156795,0.06125812492869434,0.9967099013858857,0.004154441759960881
P200,10.0,0.0,200.0,181.36000061035156,1742199624.7146468,aruco_5,399.39869133576053,-39.72439008302823,58.194760847717795,0.10291705751973229,-0.029046190026475967,0.9942567451239896,-0.004232354644907918
P200,10.0,0.0,200.0,181.36000061035156,1742199624.7150805,aruco_7,586.0932363955812,-41.146276366232456,34.95125271338917,0.034738128748654146,-0.0015596354979249957,0.9993952199665865,-0.00012030268089110546
P200,10.0,0.0,200.0,181.36000061035156,1742199624.7154799,aruco_9,761.1277154299854,-37.48703438021551,43.12948485355383,0.03873469702475339,-0.013870976068051353,0.9991510453882152,0.0020971356806086714
P200,10.0,0.0,200.0,182.08999633789062,1742199624.818596,aruco_8,584.0128243125877,59.19504922021648,37.11073526884989,0.059579494470165556,0.043116707316330966,0.9972551512820697,0.008566609135206224
P200,10.0,0.0,200.0,182.08999633789062,1742199624.819354,aruco_2,15.721999331224257,53.126335850530175,23.240279405182697,-0.03817884147440231,0.07876886357850846,0.995996478521256,-0.018134145626157228
P200,10.0,0.0,200.0,182.08999633789062,1742199624.8197575,aruco_4,215.12065591382867,53.14145882639004,59.10340669027336,0.07063496003260267,0.04166688589847883,0.9964628098717094,-0.018342074793505667
P200,10.0,0.0,200.0,182.08999633789062,1742199624.8202112,aruco_6,396.9940356927758,53.72146250523865,47.8107619041992,-0.0419275516940025,0.08065493458240969,0.9958004513559277,-0.010877190772332781
P200,10.0,0.0,200.0,182.08999633789062,1742199624.8204615,aruco_10,765.1618292294285,55.434005684701866,25.891150707100465,0.029917192619420035,-0.009741834540166193,0.9994896642758381,-0.0055190107479150255
P200,10.0,0.0,200.0,182.08999633789062,1742199624.820665,aruco_0,180.8939462394019,3.9891404694580856,43.680993164003645,-0.28212432091012934,0.0009260908875062536,0.9592111151445016,-0.017861524420365767
P200,10.0,0.0,200.0,182.08999633789062,1742199624.82086,aruco_1,1.9780026847514565,-50.86185643598379,-6.058970965774346,0.0038885479978337818,-0.05576972413308291,0.9984191791263863,-0.005809483884761095
P200,10.0,0.0,200.0,182.08999633789062,1742199624.8210595,aruco_3,208.61512241912692,-42.38733329034555,40.021688479657705,0.048719117006173936,0.0884648006882631,0.994885918127023,-0.0015578349057458903
P200,10.0,0.0,200.0,182.08999633789062,1742199624.8212702,aruco_5,399.42563375333464,-39.51436492268787,59.49806458327145,0.09718526373905978,-0.031043226348577823,0.9947676891517502,-0.005345764805502165
P200,10.0,0.0,200.0,182.08999633789062,1742199624.821498,aruco_7,586.051259199942,-41.101235523408164,35.240594158111094,0.037164864555178326,-0.007532418344707267,0.9992805652256845,-0.0006145653633202534
P200,10.0,0.0,200.0,182.08999633789062,1742199624.8217134,aruco_9,762.377726258572,-37.84342761425422,40.334889440309496,0.03301404029296657,-0.017461215299872893,0.9993006156004423,0.0018571449516336068
P200,10.0,0.0,200.0,182.08999633789062,1742199624.9046085,aruco_8,584.0908419971893,59.19356084981131,36.58414231279028,0.05667360672152402,0.0412367775473746,0.9975010998180102,0.00889811841724808
P200,10.0,0.0,200.0,182.08999633789062,1742199624.9050868,aruco_2,17.443625651648198,53.11523003991718,26.565346224076023,-0.04106540818294163,0.07654029586654267,0.9960978068039553,-0.01563217511678253
P200,10.0,0.0,200.0,182.08999633789062,1742199624.9053617,aruco_4,214.7614421150302,53.13239538550558,57.701681264940575,-0.02795479660207933,0.04209513572949092,0.9987126164461211,0.004430450859112806
P200,10.0,0.0,200.0,182.08999633789062,1742199624.9056423,aruco_6,396.97937557377884,53.73726493507965,47.710349441450475,-0.042197526933545455,0.07853476063987384,0.9959553775478202,-0.011159582639726242
P200,10.0,0.0,200.0,182.08999633789062,1742199624.906562,aruco_10,764.7436569767558,55.48211491018657,26.878290841490738,0.03219947455958004,-0.008694752245707626,0.9994286551620245,-0.0054725301507269584
P200,10.0,0.0,200.0,182.08999633789062,1742199624.9073231,aruco_0,182.72571111646732,4.256750141473628,47.22320582973482,-0.28910296841827676,-0.0037319232300258506,0.9571735202223786,-0.014979519589866173
P200,10.0,0.0,200.0,182.08999633789062,1742199624.907822,aruco_1,0.8266124459018753,-51.18173714729285,-8.305234484530688,0.004877592890916965,-0.05598489011507967,0.9984019841176325,-0.005947231475858926
P200,10.0,0.0,200.0,182.08999633789062,1742199624.9082143,aruco_3,208.2887262048278,-42.6710783587253,38.674750560450775,0.042916391857135715,0.0968680081985483,0.9943623755223501,-0.004269512332718561
P200,10.0,0.0,200.0,182.80999755859375,1742199624.9087713,aruco_5,399.4891711005689,-39.33978532516063,60.68457615295109,0.11178332458628314,-0.03579753102789848,0.9930813958905469,-0.003515128828608856
P200,10.0,0.0,200.0,182.80999755859375,1742199624.9091308,aruco_7,585.9466418489006,-41.058315138609956,35.851411522419,0.05377829404364993,-0.00919233383958776,0.9985070732434272,0.0026478171827105327
P200,10.0,0.0,200.0,182.80999755859375,1742199624.909467,aruco_9,761.2918973408845,-37.54316796718044,42.655791524665474,0.03549883313226186,-0.015978789374835548,0.9992412151677065,0.0012228098143600803
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0403554,aruco_8,584.0189126888972,59.177403054119964,37.02299298267386,0.059730466303251364,0.043122426847279495,0.9972395969040202,0.009268453267605796
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0407906,aruco_2,15.929347865486498,53.135665642559424,23.64205789355489,-0.03728266571959856,0.07940899722538143,0.995968754290284,-0.018720169532689852
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0411203,aruco_4,213.9972406918715,53.20163145306161,55.051744581423144,-0.02343245677856906,0.04560166246081568,0.9986801937712958,0.0030445324059351154
P200,10.0,0.0,200.0,183.5399932861328,1742199625.041472,aruco_6,397.07157844050306,53.75825722119218,49.878159733830806,-0.051452895070520525,0.08178512944281337,0.9952576212699055,-0.011227187182593837
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0418458,aruco_10,764.5801054890318,55.45906676299746,27.059738791494702,0.027943738398704742,-0.012971978166155721,0.9995127120622069,-0.005020351106892095
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0422244,aruco_0,183.98244174143093,4.3497375575060895,48.510802675857725,-0.28920761071522105,-0.009884314645660305,0.9571319128781687,-0.012639106016929566
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0425282,aruco_1,0.8267436756139168,-51.23822702599698,-8.2722236471382,0.006032762930262196,-0.058095176493994316,0.9982800484258262,-0.005048905053203059
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0428092,aruco_3,207.48668863747855,-43.20379683870576,35.85393675877224,0.04366278995972438,0.10740826682092722,0.9932263915546122,-0.007638744908819426
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0430973,aruco_5,399.3749541228293,-39.827406529550345,57.47978840173007,0.0998997108222829,-0.03168969660305876,0.9944800305681881,-0.005026893989974355
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0434391,aruco_7,586.015174150562,-41.13047192431496,35.32588835760131,0.036784610009692784,-0.005423194033209411,0.9993083435299758,-0.000553350472413795
P200,10.0,0.0,200.0,183.5399932861328,1742199625.0437412,aruco_9,762.1793900424467,-37.80870782838325,40.879596705991396,0.03559696479804093,-0.012413605126512028,0.9992883222402842,0.0012640234214330844
P200,10.0,0.0,200.0,184.27000427246094,1742199625.1479385,aruco_8,584.047085632922,59.20291567217392,36.92200110934807,0.05846074773852502,0.044035839408432476,0.997279489293398,0.00876334541929135
P200,10.0,0.0,200.0,184.27000427246094,1742199625.1483793,aruco_2,18.525898163468113,53.11977784398572,28.674599675099778,-0.04170306349825443,0.0803522028744691,0.9957549892967807,-0.016624365916165056
P200,10.0,0.0,200.0,184.27000427246094,1742199625.14868,aruco_4,213.46906047175415,53.18847636063717,53.21168731701287,-0.024517529389086953,0.05669663902679779,0.9980896948629138,0.0011546220947229536
P200,10.0,0.0,200.0,184.27000427246094,1742199625.148985,aruco_6,396.9653773221667,53.69641662200113,47.09434330909546,-0.03844541786655032,0.0792201939713889,0.9960557020608665,-0.01091509844691139
P200,10.0,0.0,200.0,184.27000427246094,1742199625.1493173,aruco_10,764.5465459698836,55.47573811652979,27.18531787405054,0.029162997112507638,-0.01243009014023574,0.9994832238804653,-0.005318634247825
P200,10.0,0.0,200.0,184.27000427246094,1742199625.1497397,aruco_0,183.5878212302656,4.011168735835416,45.28064639837959,-0.02282198394353014,0.00872004600349274,0.999700264622586,0.001577656134751845
P200,10.0,0.0,200.0,184.27000427246094,1742199625.1500206,aruco_1,0.858166826626261,-51.18352217648198,-8.233515673318426,0.005860177229485394,-0.0558701663188748,0.9984050221266327,-0.005620045907872609
P200,10.0,0.0,200.0,184.27000427246094,1742199625.1502917,aruco_3,207.25975932996303,-43.3333824819488,35.22939604802511,0.04860166445644219,0.10924718483506615,0.9927966321404899,-0.007600548078022548
P200,10.0,0.0,200.0,184.27000427246094,1742199625.1505966,aruco_5,399.460629574613,-39.53479638927138,59.36327895703442,0.10069649044979892,-0.0349616932829987,0.9942915320102743,-0.004715521050482072
P200,10.0,0.0,200.0,184.27000427246094,1742199625.1508949,aruco_7,586.0529647452406,-41.14701613268929,35.257780715188815,0.035745566132347306,-0.00951311372354083,0.9993154820738329,-0.0005591709112352213
P200,10.0,0.0,200.0,184.27000427246094,1742199625.1511967,aruco_9,762.5820285313208,-37.94868689441712,40.00070827861701,0.028790122860328598,-0.015594670721181505,0.9994636571905172,0.0005685567638247298
P200,10.0,0.0,200.0,184.99000549316406,1742199625.256288,aruco_8,584.1244028825478,59.192885883892686,36.56983461639341,0.05790466553957832,0.04281250753132043,0.9973628183350495,0.0090298216008842
P200,10.0,0.0,200.0,184.99000549316406,1742199625.2567573,aruco_2,17.239623085815392,53.102009942494,26.242246745429743,-0.04009640817106152,0.07720653106436963,0.9960775937210967,-0.01615076351902242
P200,10.0,0.0,200.0,184.99000549316406,1742199625.257059,aruco_4,213.07182114961674,53.18259656389285,51.898214286016376,-0.021967474849076195,0.06281441680958591,0.9977831003332648,-0.0008087383246249213
P200,10.0,0.0,200.0,184.99000549316406,1742199625.2574832,aruco_6,397.0218280137026,53.741231536687245,48.76847386904848,-0.04721688474487914,0.08055283006732646,0.9955686583154518,-0.011173369738121226
P200,10.0,0.0,200.0,184.99000549316406,1742199625.2580993,aruco_10,764.8563293649781,55.4465265337855,26.556151225985314,0.028846951085537958,-0.014197608164190113,0.9994730591339765,-0.004458209496753836
P200,10.0,0.0,200.0,184.99000549316406,1742199625.2585042,aruco_0,184.83591163644354,4.21101512595054,46.41452921695788,-0.2807580854238892,-0.01261970061122038,0.95959443935064,-0.013933419940656434
P200,10.0,0.0,200.0,184.99000549316406,1742199625.2587974,aruco_1,1.3473107725970879,-51.07885594671733,-7.313509806121887,0.004822818227842074,-0.05762136333372831,0.9983131315755363,-0.005234550922437881
P200,10.0,0.0,200.0,184.99000549316406,1742199625.2590868,aruco_3,207.7822158996543,-43.02261873591484,37.136815291444634,0.0513867002372894,0.11145923215415335,0.9924141647493471,-0.007096654871209061
P200,10.0,0.0,200.0,184.99000549316406,1742199625.2594352,aruco_5,399.4049146659037,-39.66424473740823,58.421732799302184,0.09281597613711207,-0.03132618563123321,0.995174791134264,-0.005566844395890914
P200,10.0,0.0,200.0,184.99000549316406,1742199625.2597582,aruco_7,586.0523606848163,-41.191695729617535,34.748782834833406,0.03866901546945447,-0.011657840679230608,0.9991837227315258,-0.0008248823404114451
P200,10.0,0.0,200.0,184.99000549316406,1742199625.2601209,aruco_9,763.184847686543,-38.11617083146729,38.6062391092955,0.031065243463401452,-0.01318405501840852,0.9994303135597681,0.00041219584678653
P200,10.0,0.0,200.0,185.72000122070312,1742199625.3448315,aruco_8,584.0760258351866,59.20835066096258,36.78935213563938,0.05885332651070077,0.04206482711598339,0.9973354440057393,0.009425421572891328
P200,10.0,0.0,200.0,185.72000122070312,1742199625.3452604,aruco_2,17.998927057974733,53.11578313701657,27.657607757925362,-0.04119844562655829,0.07690773121961106,0.9960546249126984,-0.016219229512682166
P200,10.0,0.0,200.0,185.72000122070312,1742199625.3455937,aruco_4,212.10997530713874,53.273212751049115,48.59642782168172,-0.02321853996780554,0.07687933379079612,0.9967659007298649,-0.002863018753101349
P200,10.0,0.0,200.0,185.72000122070312,1742199625.345904,aruco_6,397.0451937861179,53.81212577992028,49.04350262685186,-0.04574680050387723,0.09404478586707007,0.9944454907705863,-0.011872853791673205
P200,10.0,0.0,200.0,185.72000122070312,1742199625.3461993,aruco_10,765.2923366963685,55.43449488741481,25.63845419473465,0.030101225801591292,-0.011316148847329687,0.9994723149083147,-0.004576345746292728
P200,10.0,0.0,200.0,185.72000122070312,1742199625.346494,aruco_0,186.17323742767897,4.3750607170438,48.44578931604915,-0.27375141358049543,-0.010920955961029141,0.9616646972111113,-0.011911933623240716
P200,10.0,0.0,200.0,185.72000122070312,1742199625.346864,aruco_1,0.8135523814403189,-51.197216389961596,-8.325735932623314,0.005310091989941464,-0.05604505777932122,0.9983982512092301,-0.0056282048336503705
P200,10.0,0.0,200.0,185.72000122070312,1742199625.3472238,aruco_3,208.1078864973343,-42.82378560537525,38.249818222259705,0.04776688523635895,0.10758214709339961,0.9930258967846306,-0.006630604662336771
P200,10.0,0.0,200.0,185.72000122070312,1742199625.3475792,aruco_5,399.49689787046714,-39.33542299527479,61.00112026308091,0.10966837144445007,-0.03342426010342476,0.9933961195675237,-0.004450467507376659
P200,10.0,0.0,200.0,185.72000122070312,1742199625.3479135,aruco_7,586.2052251691707,-41.24496879863207,34.54129718530397,0.03831192219255496,-0.007146134128837576,0.9992400338878261,-0.0006886725879542654
P200,10.0,0.0,200.0,185.72000122070312,1742199625.3482718,aruco_9,764.0151581352486,-38.29220933680341,36.77020470679104,0.026937831427833316,-0.010281587740979701,0.9995761802382048,0.004011523911724078
P200,10.0,0.0,200.0,186.4499969482422,1742199625.4701781,aruco_8,583.9290656769059,59.20895187742307,37.41533245239093,0.05963004301000861,0.0412588813115665,0.9973311340396157,0.008518328405851691
P200,10.0,0.0,200.0,186.4499969482422,1742199625.470678,aruco_2,17.337021506841577,53.111390651004065,26.413754770014286,-0.03928342124059983,0.07745545259700667,0.9960923250602757,-0.016047925091796592
P200,10.0,0.0,200.0,186.4499969482422,1742199625.470991,aruco_4,211.98432954746337,53.22865582982126,48.13143681321619,-0.018968760659087446,0.07019040484496292,0.9973496104274903,-0.002690364119942525
P200,10.0,0.0,200.0,186.4499969482422,1742199625.4715014,aruco_6,397.06165035218027,53.761535302591106,49.672623526339834,-0.04518136008182059,0.08530154982557407,0.9952706681140641,-0.010889341228993217
P200,10.0,0.0,200.0,186.4499969482422,1742199625.4719577,aruco_10,764.2885195779636,55.49167117683921,27.739481113124185,0.030271636476520192,-0.013293766039866158,0.9994356848082385,-0.00593346189083785
P200,10.0,0.0,200.0,186.4499969482422,1742199625.4722557,aruco_0,186.07031061610803,4.1224159817419554,45.57969077701407,-0.2871924559879684,0.005316198696090079,0.957664153239137,-0.01927662608501428
P200,10.0,0.0,200.0,186.4499969482422,1742199625.472555,aruco_1,0.8735309684679837,-51.17809849161554,-8.155518500226,0.005916077690376165,-0.05745180087020913,0.998316010691973,-0.005424360304253678
P200,10.0,0.0,200.0,186.4499969482422,1742199625.472859,aruco_3,207.71318711979387,-43.01553596672375,36.74742230749484,0.04659948806527139,0.101176443586231,0.993760130425995,-0.005710380207659674
P200,10.0,0.0,200.0,186.4499969482422,1742199625.4732,aruco_5,399.44970271524573,-39.534416223828806,59.46008300533801,0.10873823760192232,-0.03147171620162742,0.9935654078252542,-0.003646509543195197
P200,10.0,0.0,200.0,186.4499969482422,1742199625.4735627,aruco_7,585.8556776445052,-41.03895809765778,35.67757498614665,0.04233616868185513,-0.005996847188215667,0.9990851797109986,0.0006931996024063722
P200,10.0,0.0,200.0,186.4499969482422,1742199625.4738572,aruco_9,762.1853260652822,-37.8334690322174,40.76668342549527,0.03375663290551179,-0.012874187937408571,0.9993459993005298,0.0015195137330576288
P200,10.0,0.0,200.0,187.1699981689453,1742199625.5804214,aruco_8,584.0138187728282,59.18978481784872,37.057315178971486,0.05873733360795482,0.045488370543199486,0.9971900175243612,0.009632907288996174
P200,10.0,0.0,200.0,187.1699981689453,1742199625.581001,aruco_2,16.806939203958205,53.10474162222351,25.42473742604734,-0.03848010835729552,0.07314433990960549,0.9964615370640725,-0.01528339662722617
P200,10.0,0.0,200.0,187.1699981689453,1742199625.5813177,aruco_4,212.71132231464287,53.1863429010732,50.6015135285316,-0.02496266432434595,0.06851943090368301,0.9973366161652565,-0.0012717375354814253
P200,10.0,0.0,200.0,187.1699981689453,1742199625.5816607,aruco_6,396.97133410100463,53.696923561123725,46.75563887803491,-0.033139805642225274,0.08519459792285167,0.9957593381268932,-0.010342368766372382
P200,10.0,0.0,200.0,187.1699981689453,1742199625.582189,aruco_10,765.9883780322548,55.46193047147399,24.09901486148225,0.02872353755074254,-0.006575110211750131,0.9995581558487684,-0.0038999515375677737
P200,10.0,0.0,200.0,187.1699981689453,1742199625.5827098,aruco_0,186.91924993602328,4.1418071393996,46.04282636013435,-0.2777205605387641,-0.007375770434887668,0.9604982643812854,-0.016123276407695945
P200,10.0,0.0,200.0,187.1699981689453,1742199625.5831804,aruco_1,2.064234426382039,-50.86026990909717,-5.933245280848154,0.0020094665389166467,-0.05532575006076303,0.9984471193006871,-0.0061938413209802435
P200,10.0,0.0,200.0,187.1699981689453,1742199625.5835276,aruco_3,207.65552711553926,-43.09036490260901,36.379406858428,0.04495975342956397,0.10004305394632462,0.993946273128176,-0.0063878288017170555
P200,10.0,0.0,200.0,187.1699981689453,1742199625.5840268,aruco_5,399.46316871066807,-39.40519376138167,60.04397183366328,0.10055936026446026,-0.03441409283076718,0.9943237760104469,-0.004868643648705494
P200,10.0,0.0,200.0,187.1699981689453,1742199625.5845006,aruco_7,585.8934126383149,-41.069654608422006,35.487441090121806,0.04072330501175278,-0.0037232984179879783,0.9991633663081072,0.00055417355066474
P200,10.0,0.0,200.0,187.1699981689453,1742199625.5848048,aruco_9,762.2141019402069,-37.782425529595486,40.93331021232449,0.033475594097478974,-0.011857786561957965,0.9993687091787351,0.0009751064722452657
P200,10.0,0.0,200.0,187.89999389648438,1742199625.6863086,aruco_8,583.9250824345337,59.196017089717216,37.43737289398219,0.059117506460077254,0.04156206466562274,0.9973457553236215,0.008896612323424044
P200,10.0,0.0,200.0,187.89999389648438,1742199625.6867578,aruco_2,16.54611367638459,53.130074184449484,24.839354151517835,-0.03776607171498555,0.08084698302167412,0.995845353378679,-0.018152454160333096
P200,10.0,0.0,200.0,187.89999389648438,1742199625.68707,aruco_4,213.62031036872165,53.190547401554504,54.11286226613199,-0.037108461800954486,0.061675998102981744,0.9974032363836125,0.002409900954265071
